[2025-11-26 14:18:26:226] P9078_AxisSetParameter[0-0] PN: 1202, PV: 1, rc: 0
[2025-11-26 14:18:26:227] P9078_AxisSetParameter[0-0] PN: 1205, PV: 0, rc: 0
[2025-11-26 14:18:26:228] P9078_AxisSetParameter[0-0] PN: 1200, PV: 0, rc: 0
[2025-11-26 14:18:26:228] P9078_TrajCombineAxes[0] 0x0, rc: 0
[2025-11-26 14:18:26:239] P9078_AxisSetParameter[1-0] PN: 1202, PV: 1, rc: 0
[2025-11-26 14:18:26:240] P9078_AxisSetParameter[1-0] PN: 1205, PV: 0, rc: 0
[2025-11-26 14:18:26:241] P9078_AxisSetParameter[1-0] PN: 1200, PV: 0, rc: 0
[2025-11-26 14:18:26:241] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-11-26 14:18:26:254] P9078_AxisSetParameter[0-0] PN: 1204, PV: 1, rc: 0
[2025-11-26 14:18:26:255] P9078_AxisSetRealParameter[0-0] PN: 1206, PV: 1000.000000, rc: 0
[2025-11-26 14:18:26:257] P9078_AxisSetRealParameter[0-0] PN: 1002, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:258] P9078_AxisSetRealParameter[0-0] PN: 1003, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:259] P9078_AxisSetBacklash[0-0], backlash: 0.000000, rc: 0
[2025-11-26 14:18:26:260] P9078_AxisSetMaxVelocity[0-0], vel: 50.000000, rc: 0
[2025-11-26 14:18:26:262] P9078_AxisSetMaxAcceleration[0-0], acc: 120.000000, rc: 0
[2025-11-26 14:18:26:263] P9078_AxisSetParameter[0-0] PN: 1001, PV: 500000, rc: 0
[2025-11-26 14:18:26:264] P9078_AxisSetMinPositionLimit[0-0], limit: -8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:265] P9078_AxisSetMaxPositionLimit[0-0], limit: 8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:287] P9078_AxisSetParameter[0-1] PN: 1204, PV: 1, rc: 0
[2025-11-26 14:18:26:288] P9078_AxisSetRealParameter[0-1] PN: 1206, PV: 1000.000000, rc: 0
[2025-11-26 14:18:26:289] P9078_AxisSetRealParameter[0-1] PN: 1002, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:290] P9078_AxisSetRealParameter[0-1] PN: 1003, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:291] P9078_AxisSetBacklash[0-1], backlash: 0.000000, rc: 0
[2025-11-26 14:18:26:292] P9078_AxisSetMaxVelocity[0-1], vel: 50.000000, rc: 0
[2025-11-26 14:18:26:293] P9078_AxisSetMaxAcceleration[0-1], acc: 120.000000, rc: 0
[2025-11-26 14:18:26:294] P9078_AxisSetParameter[0-1] PN: 1001, PV: 500000, rc: 0
[2025-11-26 14:18:26:295] P9078_AxisSetMinPositionLimit[0-1], limit: -8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:296] P9078_AxisSetMaxPositionLimit[0-1], limit: 8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:319] P9078_AxisSetParameter[0-2] PN: 1204, PV: 1, rc: 0
[2025-11-26 14:18:26:320] P9078_AxisSetRealParameter[0-2] PN: 1206, PV: 2000.000000, rc: 0
[2025-11-26 14:18:26:321] P9078_AxisSetRealParameter[0-2] PN: 1002, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:322] P9078_AxisSetRealParameter[0-2] PN: 1003, PV: 0.000000, rc: 0
[2025-11-26 14:18:26:323] P9078_AxisSetBacklash[0-2], backlash: 0.000000, rc: 0
[2025-11-26 14:18:26:324] P9078_AxisSetMaxVelocity[0-2], vel: 10.000000, rc: 0
[2025-11-26 14:18:26:325] P9078_AxisSetMaxAcceleration[0-2], acc: 100.000000, rc: 0
[2025-11-26 14:18:26:326] P9078_AxisSetParameter[0-2] PN: 1001, PV: 500000, rc: 0
[2025-11-26 14:18:26:327] P9078_AxisSetMinPositionLimit[0-2], limit: -8000000000000000.000000, rc: 0
[2025-11-26 14:18:26:328] P9078_AxisSetMaxPositionLimit[0-2], limit: 8000000000000000.000000, rc: 0
