[2025-12-11 11:58:18:225] P9078_AxisSetParameter[0-0] PN: 1202, PV: 1, rc: 0
[2025-12-11 11:58:18:226] P9078_AxisSetParameter[0-0] PN: 1205, PV: 0, rc: 0
[2025-12-11 11:58:18:227] P9078_AxisSetParameter[0-0] PN: 1200, PV: 0, rc: 0
[2025-12-11 11:58:18:228] P9078_TrajCombineAxes[0] 0x0, rc: 0
[2025-12-11 11:58:18:238] P9078_AxisSetParameter[1-0] PN: 1202, PV: 1, rc: 0
[2025-12-11 11:58:18:239] P9078_AxisSetParameter[1-0] PN: 1205, PV: 0, rc: 0
[2025-12-11 11:58:18:240] P9078_AxisSetParameter[1-0] PN: 1200, PV: 0, rc: 0
[2025-12-11 11:58:18:240] P9078_TrajCombineAxes[1] 0x0, rc: 0
[2025-12-11 11:58:18:254] P9078_AxisSetParameter[0-0] PN: 1204, PV: 1, rc: 0
[2025-12-11 11:58:18:255] P9078_AxisSetRealParameter[0-0] PN: 1206, PV: 1000.000000, rc: 0
[2025-12-11 11:58:18:258] P9078_AxisSetRealParameter[0-0] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:259] P9078_AxisSetRealParameter[0-0] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:260] P9078_AxisSetBacklash[0-0], backlash: 0.000000, rc: 0
[2025-12-11 11:58:18:261] P9078_AxisSetMaxVelocity[0-0], vel: 50.000000, rc: 0
[2025-12-11 11:58:18:262] P9078_AxisSetMaxAcceleration[0-0], acc: 120.000000, rc: 0
[2025-12-11 11:58:18:263] P9078_AxisSetParameter[0-0] PN: 1001, PV: 500000, rc: 0
[2025-12-11 11:58:18:264] P9078_AxisSetMinPositionLimit[0-0], limit: -8000000000000000.000000, rc: 0
[2025-12-11 11:58:18:265] P9078_AxisSetMaxPositionLimit[0-0], limit: 8000000000000000.000000, rc: 0
[2025-12-11 11:58:18:287] P9078_AxisSetParameter[0-1] PN: 1204, PV: 1, rc: 0
[2025-12-11 11:58:18:289] P9078_AxisSetRealParameter[0-1] PN: 1206, PV: 1000.000000, rc: 0
[2025-12-11 11:58:18:290] P9078_AxisSetRealParameter[0-1] PN: 1002, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:291] P9078_AxisSetRealParameter[0-1] PN: 1003, PV: 0.000000, rc: 0
[2025-12-11 11:58:18:292] P9078_AxisSetBacklash[0-1], backlash: 0.000000, rc: 0
[2025-12-11 11:58:18:293] P9078_AxisSetMaxVelocity[0-1], vel: 50.000000, rc: 0
[2025-12-11 11:58:18:294] P9078_AxisSetMaxAcceleration[0-1], acc: 120.000000, rc: 0
[2025-12-11 11:58:18:295] P9078_AxisSetParameter[0-1] PN: 1001, PV: 500000, rc: 0
