Machine name,Operater ID,Time,Work order,Purpose,Test Platform,Fixture ID,Socket number,CoC information_ID, , ,QWLT result, , , , , , , , , , , , , , ,LIV result, , , ,Coarse Tune
Station name,worker ID, , , , , , ,Mask,Wafer,PIC,Gain[mA],SOA1[mA],SOA2[mA],Mrror1[mA],Mirror2[mA],L-phase[mA],Phase1[mA],Phase2[mA],Wavelength[nm],Deviation[nm],SMSR[dB],MZM Vbias[V],mPD Bias [V],MPD1[uA],MPD2[uA],Ith to SOA,Ith to Power,TapPD_Power,IS_Power[mW],Missing Channel,Judgement,Failure code,Test Temp[DegC]
CT-3103A,operator,20241113_223852,X241111001,Post BI,Left (A),29,1,DO721#3,TM043,X241111001-TM043-R-04-19,120,50,40,10,10,1.5,0,1.5,1557.8,NaN,49.80260076,-2,-2,-307.216134,-50.336173,51.383,51.42,51.995,8.0682896142875,,Pass,,58.04021
CT-3103A,operator,20241113_224912,X241111001,Post BI,Left (A),29,2,DO721#3,TM043,X241111001-TM043-R-03-03,120,50,40,9.8,10.2,1.25,1,0,1557.6,NaN,49.60028696,-2,-2,-202.448544,-43.971562,53.739,52.991,53.337,9.83873896520836,,Pass,,57.87673
CT-3103A,operator,20241113_225819,X241111001,Post BI,Left (A),29,3,DO721#3,TM043,X241111001-TM043-O-02-12,120,50,40,10,10,2.5,0.5,0,1563.3,NaN,47.83564478,-2,-2,-286.83446,-29.157382,49.497,49.262,49.57,5.6509164070692,,Pass,[Low Power],57.92352
CT-3103A,operator,20241113_230815,X241111001,Post BI,Left (A),29,4,DO721#3,TM043,X241111001-TM043-R-03-11,120,50,40,9.5,10.5,1.25,1,0,1563.4,NaN,49.46055718,-2,-2,-197.683054,-31.6447,52.673,52.346,53.06,7.66769139050778,,Pass,[Low Power],57.85021
CT-3103A,operator,20241113_231952,X241111001,Post BI,Left (A),29,5,DO721#3,TM043,X241111001-TM043-R-03-18,120,50,40,10.6,9.4,2.75,0.5,0,1557.8,NaN,42.0348706,-2,-2,-223.30675,-45.178644,51.621,51.111,51.464,8.04394557720567,,Pass,,57.93545
CT-3103A,operator,20241113_232705,X241111001,Post BI,Left (A),29,6,DO721#3,TM043,X241111001-TM043-R-03-20,120,50,40,10,10,2.5,0.5,0,1557.8,NaN,49.13360365,-2,-2,-487.791724,-43.496046,50.468,50.173,50.372,7.81136365648061,,Pass,[Low Power],57.92278
CT-3103A,operator,20241113_233817,X241111001,Post BI,Left (A),29,7,DO721#3,TM043,X241111001-TM043-R-03-24,120,50,40,10.3,9.7,3.75,0,1,1551.5,NaN,48.88225574,-2,-2,-325.398316,-56.37158,51.862,51.107,51.43,7.47032342917137,,Pass,[Low Power],58.00961
CT-3103A,operator,20241113_234651,X241111001,Post BI,Left (A),29,8,DO721#3,TM043,X241111001-TM043-R-03-26,120,50,40,5,15,5.5,0,0,1536.4,NaN,44.23578369,-2,-2,-3486.241214,-4.796284,63.293,62.04,63.173,4.24812855492244,,Pass,[Low Power],57.87786
CT-3103A,operator,20241114_101228,X241111001,Pre BI,Left (A),29,6,DO721#3,TM043,X241111001-TM043-R-03-20,120,50,40,10.2,9.8,2.25,0.5,0,1557.8,NaN,48.30517927,-2,-2,-313.191325,-47.743692,50.786,50.806,50.506,7.66303940792688,,Pass,[Low Power],58.01369
CT-3103A,operator,20241114_102157,X241111001,Pre BI,Left (A),29,8,DO721#3,TM043,X241111001-TM043-R-03-26,120,50,40,10.9,9.1,4.5,0,0,1558.4,NaN,39.28063108,-2,-2,-3693.540115,-7.873427,53.71,60.178,55.047,5.17311592243076,,Pass,[Low Power],57.86883
CT-3103A,operator,20241114_114602,X241111001,Pre BI,Left (A),29,8,DO721#3,TM043,X241111001-TM043-R-03-26,120,50,40,9.8,10.2,3,0,1.5,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,55.164,NaN,6.66271975036301,,Pass,[Low Power],58.03905
CT-3103A,operator,20241114_115741,X241111001,Pre BI,Left (A),29,8,DO721#3,TM043,X241111001-TM043-R-03-26,120,50,40,9.7,10.3,3,0,1.5,NaN,NaN,NaN,-2,-2,NaN,NaN,NaN,55.226,NaN,6.74215909285743,,Pass,[Low Power],57.98925
