Machine name,Operater ID,Time,Work order,Purpose,Test Platform,Fixture ID,Socket number,CoC information_ID, , ,QWLT result, , , , , , , , , , , , , , ,LIV result, , , ,Coarse Tune,,
Station name,worker ID, , , , , , ,Mask,Wafer,PIC,Gain[mA],SOA1[mA],SOA2[mA],Mrror1[mA],Mirror2[mA],L-phase[mA],Phase1[mA],Phase2[mA],Wavelength[nm],Deviation[nm],SMSR[dB],MZM Vbias[V],mPD Bias [V],MPD1[uA],MPD2[uA],Ith to SOA,Ith to Power,TapPD_Power,IS_Power[mW],Missing Channel,Judgement,Failure code
CT-3103A,operator,20240628_191508,X240620002,Pre BI,Left (A),3,1,DO721#2,TM038,A1,120,50,40,9.8,10.2,5.5,1,0,1550.2,NaN,8.59633052,-2,-2,-553.292921,-60.61593,54.029,53.717,54.006,13.03784581,,Pass,[SMSR Fail]
CT-3103A,operator,20240628_192349,X240620002,Pre BI,Left (A),3,2,DO721#2,TM038,A2,120,50,40,10.3,9.7,4.25,0,1.5,1550.8,NaN,37.4793458,-2,-2,-338.456884,-67.61121,55.39,54.96,56.524,14.14888153,20_21_22_88_89,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240628_193003,X240620002,Pre BI,Left (A),3,3,DO721#2,TM038,A3,120,50,40,9.5,10.5,3.75,6,0,1551.1,NaN,6.4533164,-2,-2,-2755.152993,-7.290658,53.147,53.06,53.286,3.660913813,,Pass,[SMSR Fail][Low Power]
CT-3103A,operator,20240628_193613,X240620002,Pre BI,Left (A),3,4,DO721#2,TM038,A4,120,50,40,10.2,9.8,1.5,8.5,0,1550.7,NaN,21.9020916,-2,-2,-399.677316,1.462598,0,49.406,50.018,1.730029619,,Pass,[SMSR Fail][Low Power]
CT-3103A,operator,20240628_204013,X240620002,Pre BI,Left (A),3,5,DO721#2,TM038,A5,120,50,40,10,10,1.5,0.5,0,1544.9,NaN,38.32306419,-2,-2,-405.504368,-96.25157,54.556,54.234,55.161,14.71044423,92_93_94_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240628_204638,X240620002,Pre BI,Left (A),3,6,DO721#2,TM038,A6,120,50,40,11.2,8.8,1.25,1.5,0,1546.2,NaN,9.41483061,-2,-2,-3939.50101,-20.145857,30.662,54.912,56.009,3.708326227,,Pass,[SMSR Fail][Low Power]
CT-3103A,operator,20240628_212825,X240620002,Pre BI,Left (A),3,7,DO721#2,TM038,A7,120,50,40,10,10,4,0.5,0,1557,NaN,35.89113443,-2,-2,-340.89695,-42.120559,58.18,57.703,58.662,15.2296263,2_3_4_10_11_21_22_23_24_33_34_35_36_37_38_39_45_46_47_48_49_50_51_56_57_58_59_60_61_62_63_64_69_70_71_72_73_74_75_76_85_86_87_88_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240628_213632,X240620002,Pre BI,Left (A),3,8,DO721#2,TM038,A8,120,50,40,10.4,9.6,3.75,0,0,1550.9,NaN,34.45127799,-2,-2,-3807.299538,-6.81454,55.03,51.203,52.767,4.630280041,,Pass,[SMSR Fail][Low Power]
CT-3103A,operator,20240628_221503,X240620002,Pre BI,Left (A),3,5,DO721#2,TM038,A5,120,50,40,10,10,1.5,0.5,0,1545.3,NaN,36.95594069,-2,-2,-378.044409,-94.493596,54.696,54.571,54.8,14.44160504,92_93_94_96_97,Fail,[Coarse Tuning fail]
