Machine name,Operater ID,Time,Work order,Purpose,Test Platform,Fixture ID,Socket number,CoC information_ID, , ,QWLT result, , , , , , , , , , , , , , ,LIV result, , , ,Coarse Tune
Station name,worker ID, , , , , , ,Mask,Wafer,PIC,Gain[mA],SOA1[mA],SOA2[mA],Mrror1[mA],Mirror2[mA],L-phase[mA],Phase1[mA],Phase2[mA],Wavelength[nm],Deviation[nm],SMSR[dB],MZM Vbias[V],mPD Bias [V],MPD1[uA],MPD2[uA],Ith to SOA,Ith to Power,TapPD_Power,IS_Power[mW],Missing Channel,Judgement,Failure code
CT-3103A,operator,20240704_143438,X240620002,Pre BI,Left (A),7,1,DO721#2,TM038,O-O3-05,120,50,40,9.4,10.6,1.75,0,0.5,1551.8,NaN,23.65365869,-2,-2,-596.048892,-55.854747,49.312,49.132,49.684,11.592218044126,,Pass,[SMSR Fail]
CT-3103A,operator,20240704_144821,X240620002,Pre BI,Left (A),7,2,DO721#2,TM038,O-01-18,120,50,40,9.8,10.2,1.75,0,3.5,1556.9,NaN,38.088868317,-2,-2,-263.542868,-45.343513,52.861,51.862,53.396,13.7860747079937,,Pass,
CT-3103A,operator,20240704_150417,X240620002,Pre BI,Left (A),7,3,DO721#2,TM038,P-04-25,120,50,40,10,10,4,3,0,1557,NaN,38.461303729,-2,-2,-228.507735,-40.692201,55.283,54.404,55.207,13.1297150167058,,Pass,
CT-3103A,operator,20240704_151541,X240620002,Pre BI,Left (A),7,4,DO721#2,TM038,P-03-15,120,50,40,9.4,10.6,6,0,0,1562.7,NaN,36.260769234,-2,-2,-261.175621,-24.101304,72.436,71.21,71.414,13.0946984052922,,Pass,
CT-3103A,operator,20240704_152455,X240620002,Pre BI,Left (A),7,5,DO721#2,TM038,O-04-10,120,50,40,10.5,9.5,2.25,0,2.5,1558.2,NaN,38.39028193,-2,-2,-222.280083,-31.536078,44.94,44.473,44.933,11.3277315833821,13_40_53_66_93,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240704_153338,X240620002,Pre BI,Left (A),7,6,DO721#2,TM038,L-02-11,120,50,40,9.8,10.2,3.75,0.5,0,1557.4,NaN,38.67598402,-2,-2,-315.840647,-43.072796,61.12,61.783,62.86,14.9071127923258,,Pass,
CT-3103A,operator,20240704_154245,X240620002,Pre BI,Left (A),7,7,DO721#2,TM038,O-04-17,120,50,40,10.7,9.3,7.25,1,0,1557.7,NaN,13.34878468,-2,-2,-261.466979,-30.58384,50.768,50.403,51.365,10.3353994449594,,Pass,[SMSR Fail]
CT-3103A,operator,20240704_155138,X240620002,Pre BI,Left (A),7,8,DO721#2,TM038,O-03-10,120,50,40,9.9,10.1,3,3,0,1557.5,NaN,34.68607811,-2,-2,-244.641386,-26.665019,47.143,46.631,47.508,10.7704325554749,,Pass,[SMSR Fail]
CT-3103A,operator,20240710_105652,X240620002,Post BI,Left (A),7,1,DO721#2,TM038,O-O3-05,120,50,40,9.5,10.5,1.75,0,0.5,1551.4,NaN,21.2899386,-2,-2,-330.335431,-56.513985,49.751,49.268,49.721,12.723837368054,,Pass,[SMSR Fail]
CT-3103A,operator,20240710_110856,X240620002,Post BI,Left (A),7,2,DO721#2,TM038,O-01-18,120,50,40,10.2,9.8,2.25,2.5,0,1557.1,NaN,47.58620744,-2,-2,-225.375697,-43.439039,52.962,52.298,53.78,13.2651726951928,64_75_76,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240710_112545,X240620002,Post BI,Left (A),7,3,DO721#2,TM038,P-04-25,120,50,40,9.9,10.1,4.75,0,3,1557.2,NaN,48.368988547,-2,-2,-310.159259,-40.362582,56.187,54.01,55.337,13.1117029749741,,Pass,
CT-3103A,operator,20240710_113722,X240620002,Post BI,Left (A),7,4,DO721#2,TM038,P-03-15,120,50,40,9.3,10.7,1.5,0,3,1562.9,NaN,41.65899679,-2,-2,-159.930642,-25.236663,70.074,70.495,70.899,13.5522243033967,,Pass,
CT-3103A,operator,20240710_114626,X240620002,Post BI,Left (A),7,5,DO721#2,TM038,O-04-10,120,50,40,10.5,9.5,2.25,0,2.5,1558.1,NaN,49.48454848,-2,-2,-197.296598,-31.462827,45.1,44.755,45.291,11.4414033745581,53_66_93,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240710_115549,X240620002,Post BI,Left (A),7,6,DO721#2,TM038,L-02-11,120,50,40,9.9,10.1,5.25,0.5,0,1557.2,NaN,46.06416184,-2,-2,-337.072968,-41.204945,61.766,60.831,61.655,14.6185527591191,,Pass,
CT-3103A,operator,20240710_120424,X240620002,Post BI,Left (A),7,7,DO721#2,TM038,O-04-17,120,50,40,9.6,10.4,1.75,0,2,1562.9,NaN,45.6244517,-2,-2,-183.857963,-20.219106,50.331,50.368,51.081,10.6541892058069,,Pass,
CT-3103A,operator,20240710_121239,X240620002,Post BI,Left (A),7,8,DO721#2,TM038,O-03-10,120,50,40,10,10,3,0,3.5,1557.3,NaN,47.87297678,-2,-2,-329.388538,-25.895904,46.986,48.767,47.385,10.5927556753392,,Pass,
CT-3103A,operator,20240710_171717,X240620002,Post BI,Left (A),7,1,DO721#2,TM038,N-02-11,120,50,40,9.4,10.6,0.5,0,2,1556.8,NaN,23.4530174,-2,-2,-4330.386408,-12.564586,53.849,53.689,53.968,5.21981817496973,,Pass,[SMSR Fail][Low Power]
CT-3103A,operator,20240710_172701,X240620002,Post BI,Left (A),7,2,DO721#2,TM038,R-04-24,120,50,40,10.1,9.9,2.75,2.5,0,1557.3,NaN,49.23707199,-2,-2,-360.891019,-43.439039,56.285,56.027,56.981,13.583119185236,,Pass,
CT-3103A,operator,20240710_173857,X240620002,Post BI,Left (A),7,3,DO721#2,TM038,N-02-28,120,50,40,9.7,10.3,5.25,0.5,0,1562.8,NaN,38.6979457,-2,-2,-480.090617,-27.287635,64.739,56.951,58.736,10.5177073568383,94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240710_174743,X240620002,Post BI,Left (A),7,4,DO721#2,TM038,L-02-29,120,50,40,9.5,10.5,1.25,0.5,0,1562.7,NaN,46.0426727,-2,-2,-344.393193,-26.555146,65.323,65.58,66.17,11.7197411844521,,Pass,
CT-3103A,operator,20240710_180140,X240620002,Post BI,Left (A),7,5,DO721#2,TM038,Q-04-15,120,50,40,9.6,10.4,5,0,3,1562.8,NaN,43.88255737,-2,-2,-172.167449,-26.628395,64.361,65.521,65.907,12.2171902498375,,Pass,
CT-3103A,operator,20240710_181039,X240620002,Post BI,Left (A),7,6,DO721#2,TM038,L-04-17,120,50,40,9.7,10.3,4.5,0.5,0,1563.1,NaN,40.4625178,-2,-2,-20000.010729,-23.808308,68.939,69.374,70.177,12.6397551979676,,Pass,
CT-3103A,operator,20240710_182000,X240620002,Post BI,Left (A),7,7,DO721#2,TM038,Q-04-09,120,50,40,9.9,10.1,4.25,0,0,1557.1,NaN,48.9416201,-2,-2,-300.544634,-44.50115,58.267,57.907,59.031,14.0515797730754,,Pass,
CT-3103A,operator,20240710_182951,X240620002,Post BI,Left (A),7,8,DO721#2,TM038,N-02-05,120,50,40,9.8,10.2,1.5,0,3,1551.2,NaN,49.85674718,-2,-2,-430.342159,-59.077702,50.181,50.15,51.29,13.7454474235067,,Pass,
CT-3103A,operator,20240711_151212,X240620002,Post BI,Left (A),7,1,DO721#2,TM038,L-04-17,120,50,40,9.6,10.4,4.25,0.5,0,1563,NaN,43.46981867,-2,-2,-20000.010729,-23.73506,69.547,71.169,71.187,12.516337088784,,Pass,
CT-3103A,operator,20240711_151903,X240620002,Post BI,Left (A),7,2,DO721#2,TM038,N-02-17,120,50,40,10.1,9.9,6,0,1,1557.1,NaN,37.04817801,-2,-2,-3765.490605,-10.330492,54.109,53.42,54.056,4.69912210949393,,Pass,[Low Power]
CT-3103A,operator,20240711_152541,X240620002,Post BI,Left (A),7,3,DO721#2,TM038,K-03-03,120,50,40,10.3,9.7,4.25,6.5,0,1551.2,NaN,47.43641083,-2,-2,-1819.183119,-15.567795,53.151,52.342,53.761,5.26837164840175,,Pass,[Low Power]
CT-3103A,operator,20240711_153704,X240620002,Post BI,Left (A),7,4,DO721#2,TM038,N-02-28,120,50,40,9.5,10.5,3.5,0.5,0,1562.8,NaN,39.97854654,-2,-2,-154.649882,-28.349747,64.922,55.391,55.955,11.0318910339253,94_95_96_97,Fail,[Coarse Tuning fail]
CT-3103A,operator,20240711_154543,X240620002,Post BI,Left (A),7,5,DO721#2,TM038,P-04-09,120,50,40,9.5,10.5,6.25,0,1.5,1556.9,NaN,46.12884479,-2,-2,-253.746141,-36.553633,62.249,58.49,58.682,7.92663953040545,,Pass,[Low Power]
CT-3103A,operator,20240711_155416,X240620002,Post BI,Left (A),7,6,DO721#2,TM038,N-02-25,120,50,40,9.8,10.2,5,0,0,1557.2,NaN,46.63513621,-2,-2,-441.522832,-42.962922,56.98,53.511,53.277,11.4174522572616,,Pass,
CT-3103A,operator,20240711_160319,X240620002,Post BI,Left (A),7,7,DO721#2,TM038,O-03-05,120,50,40,9.5,10.5,1.75,0,0.5,1551.4,NaN,20.24348507,-2,-2,-385.546737,-57.50285,49.724,48.742,50.063,13.0370943818429,,Pass,[SMSR Fail]
CT-3103A,operator,20240711_161039,X240620002,Post BI,Left (A),7,8,DO721#2,TM038,P-02-15,120,50,40,11,9,4.75,5,0,1557.7,NaN,41.14898068,-2,-2,-3095.452674,-6.0088,67.037,67.72,67.07,4.1405846145641,-2,Fail,[Low Power][Coarse Tuning fail]
CT-3103A,operator,20240716_140802,X240704001,Pre BI,Left (A),7,1,DO721#2,TM039,M-01-12,120,50,40,10.2,9.8,5,0,1.5,1551.1,NaN,44.55744912,-2,-2,-448.26034,-59.773567,61.052,61.027,59.937,14.9924974400901,,Pass,
CT-3103A,operator,20240716_141926,X240704001,Pre BI,Left (A),7,2,DO721#2,TM039,M-01-25,120,50,40,9.5,10.5,1.5,0,2,1562,NaN,42.28032054,-2,-2,-307.609938,-18.864001,72.424,72.705,72.686,13.5960576867828,,Pass,
CT-3103A,operator,20240716_142832,X240704001,Pre BI,Left (A),7,3,DO721#2,TM039,F-01-12,120,50,40,10.3,9.7,6.5,0.5,0,1550.8,NaN,48.90874339,-2,-2,-521.02562,-64.351632,53.674,52.459,54.476,13.3176892630973,,Pass,
CT-3103A,operator,20240716_143645,X240704001,Pre BI,Left (A),7,4,DO721#2,TM039,F-01-23,120,50,40,10.1,9.9,2.25,0,1.5,1562.3,NaN,45.7928349,-2,-2,-471.05868,-30.437343,60.275,57.856,60.102,12.263778874465,,Pass,
CT-3103A,operator,20240716_144521,X240704001,Pre BI,Left (A),7,5,DO721#2,TM039,F-01-25,120,50,40,10,10,2.75,0,1.5,1562.3,NaN,43.59183322,-2,-2,-482.603529,-31.609325,60.433,60.56,60.72,12.3927909582902,,Pass,
CT-3103A,operator,20240720_102057,X240704001,Post BI,Left (A),7,1,DO721#2,TM039,M-01-12,120,50,40,10.2,9.8,5,0,1.5,1551.1,NaN,43.31257601,-2,-2,-473.35308,-60.432809,61.276,60.108,59.992,15.0750990158932,,Pass,
CT-3103A,operator,20240720_103044,X240704001,Post BI,Left (A),7,2,DO721#2,TM039,M-01-25,120,50,40,9.5,10.5,1.5,0,2,1562,NaN,41.35076139,-2,-2,-311.106152,-19.852861,72.978,73.664,73.356,13.4700457545316,,Pass,
CT-3103A,operator,20240720_103948,X240704001,Post BI,Left (A),7,3,DO721#2,TM039,F-01-12,120,50,40,10.3,9.7,1.5,0,1.5,1550.8,NaN,48.85982395,-2,-2,-490.615726,-67.977453,51.749,51.772,54.042,13.3939565671172,,Pass,
CT-3103A,operator,20240720_104817,X240704001,Post BI,Left (A),7,4,DO721#2,TM039,F-01-23,120,50,40,10,10,2.75,0,1.5,1562.3,NaN,43.02997725,-2,-2,-380.011043,-31.755826,61.147,59.849,60.912,12.2785124574267,,Pass,
CT-3103A,operator,20240720_105919,X240704001,Post BI,Left (A),7,5,DO721#2,TM039,F-01-25,120,50,40,10,10,3,0,1.5,1562.2,NaN,45.31280955,-2,-2,-446.330145,-32.634813,60.728,61.157,61.283,12.3733818144341,,Pass,
CT-3103A,operator,20241024_114558,X240704001,Pre BI,Left (A),7,1,DO721#1,TM038,M-01-12,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20241024_114610,X240704001,Pre BI,Left (A),7,2,DO721#1,TM038,M-01-25,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20241024_114623,X240704001,Pre BI,Left (A),7,3,DO721#1,TM038,F-01-12,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20241024_114636,X240704001,Pre BI,Left (A),7,4,DO721#1,TM038,F-01-23,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
