Machine name,Operater ID,Time,Work order,Purpose,Test Platform,Fixture ID,Socket number,CoC information_ID, , ,QWLT result, , , , , , , , , , , , , , ,LIV result, , , ,Coarse Tune
Station name,worker ID, , , , , , ,Mask,Wafer,PIC,Gain[mA],SOA1[mA],SOA2[mA],Mrror1[mA],Mirror2[mA],L-phase[mA],Phase1[mA],Phase2[mA],Wavelength[nm],Deviation[nm],SMSR[dB],MZM Vbias[V],mPD Bias [V],MPD1[uA],MPD2[uA],Ith to SOA,Ith to Power,TapPD_Power,IS_Power[mW],Missing Channel,Judgement,Failure code
CT-3103A,operator,20240805_142101,X240704001,Pre BI,Rignt (B),95,9,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_142106,X240704001,Pre BI,Rignt (B),95,10,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_142112,X240704001,Pre BI,Rignt (B),95,11,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_142117,X240704001,Pre BI,Rignt (B),95,12,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_142315,X240704001,Pre BI,Rignt (B),95,13,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_142320,X240704001,Pre BI,Rignt (B),95,14,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_142325,X240704001,Pre BI,Rignt (B),95,15,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_142330,X240704001,Pre BI,Rignt (B),95,16,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240820_173616,X240704001,Pre BI,Left (A),95,4,DO721#2,TM038,TM038-F-01-13,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240820_173739,X240704001,Pre BI,Left (A),95,5,DO721#2,TM038,TM038-F-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240820_175603,X240704001,Pre BI,Left (A),95,4,DO721#2,TM038,TM038-F-01-13,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240820_175729,X240704001,Pre BI,Left (A),95,5,DO721#2,TM038,TM038-F-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240820_183307,X240704001,Pre BI,Left (A),95,4,DO721#2,TM038,TM038-F-01-13,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240820_183436,X240704001,Pre BI,Left (A),95,5,DO721#2,TM038,TM038-F-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_133113,X240704001,Pre BI,Left (A),95,4,DO721#1,TM038,TM038-F-01-13,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_133251,X240704001,Pre BI,Left (A),95,5,DO721#1,TM038,TM038-F-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_141605,X240704001,Pre BI,Left (A),95,4,DO721#1,TM038,TM038-F-01-13,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_141827,X240704001,Pre BI,Left (A),95,5,DO721#1,TM038,TM038-F-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_144341,X240704001,Pre BI,Left (A),95,4,DO721#1,TM038,TM038-F-01-13,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_144628,X240704001,Pre BI,Left (A),95,5,DO721#1,TM038,TM038-F-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_145742,X240704001,Pre BI,Left (A),95,4,DO721#1,TM038,TM038-F-01-13,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_150110,X240704001,Pre BI,Left (A),95,5,DO721#1,TM038,TM038-F-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_154755,X240704001,Pre BI,Left (A),95,4,DO721#1,TM038,TM038-F-01-13,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_155253,X240704001,Pre BI,Left (A),95,4,DO721#1,TM038,TM038-F-01-13,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_155518,X240704001,Pre BI,Left (A),95,5,DO721#1,TM038,TM038-F-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_161149,X240704001,Pre BI,Left (A),95,4,DO721#1,TM038,TM038-F-01-13,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_161358,X240704001,Pre BI,Left (A),95,5,DO721#1,TM038,TM038-F-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_165346,X240704001,Pre BI,Left (A),95,4,DO721#1,TM038,TM038-F-01-13,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_165655,X240704001,Pre BI,Left (A),95,5,DO721#1,TM038,TM038-F-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
