Machine name,Operater ID,Time,Work order,Purpose,Test Platform,Fixture ID,Socket number,CoC information_ID, , ,QWLT result, , , , , , , , , , , , , , ,LIV result, , , ,Coarse Tune
Station name,worker ID, , , , , , ,Mask,Wafer,PIC,Gain[mA],SOA1[mA],SOA2[mA],Mrror1[mA],Mirror2[mA],L-phase[mA],Phase1[mA],Phase2[mA],Wavelength[nm],Deviation[nm],SMSR[dB],MZM Vbias[V],mPD Bias [V],MPD1[uA],MPD2[uA],Ith to SOA,Ith to Power,TapPD_Power,IS_Power[mW],Missing Channel,Judgement,Failure code
CT-3103A,operator,20240805_142009,X240704001,Pre BI,Left (A),96,9,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_142021,X240704001,Pre BI,Left (A),96,10,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_142034,X240704001,Pre BI,Left (A),96,11,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_142047,X240704001,Pre BI,Left (A),96,12,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_142223,X240704001,Pre BI,Left (A),96,13,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_142235,X240704001,Pre BI,Left (A),96,14,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_142248,X240704001,Pre BI,Left (A),96,15,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_142301,X240704001,Pre BI,Left (A),96,16,DO721#2,TM038,,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240820_173638,X240704001,Pre BI,Rignt (B),96,4,DO721#2,TM038,TM038-M-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240820_173800,X240704001,Pre BI,Rignt (B),96,5,DO721#2,TM038,TM038-M-01-18,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240820_175742,X240704001,Pre BI,Rignt (B),96,4,DO721#2,TM038,TM038-M-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240820_183340,X240704001,Pre BI,Rignt (B),96,4,DO721#2,TM038,TM038-M-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240820_183503,X240704001,Pre BI,Rignt (B),96,5,DO721#2,TM038,TM038-M-01-18,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_133157,X240704001,Pre BI,Rignt (B),96,4,DO721#1,TM038,TM038-M-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_141711,X240704001,Pre BI,Rignt (B),96,4,DO721#1,TM038,TM038-M-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_144459,X240704001,Pre BI,Rignt (B),96,4,DO721#1,TM038,TM038-M-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_145909,X240704001,Pre BI,Rignt (B),96,4,DO721#1,TM038,TM038-M-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_150747,X240704001,Pre BI,Rignt (B),96,5,DO721#1,TM038,TM038-M-01-18,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_155410,X240704001,Pre BI,Rignt (B),96,4,DO721#1,TM038,TM038-M-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_155623,X240704001,Pre BI,Rignt (B),96,5,DO721#1,TM038,TM038-M-01-18,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_161247,X240704001,Pre BI,Rignt (B),96,4,DO721#1,TM038,TM038-M-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
