Machine name,Operater ID,Time,Work order,Purpose,Test Platform,Fixture ID,Socket number,CoC information_ID, , ,QWLT result, , , , , , , , , , , , , , ,LIV result, , , ,Coarse Tune
Station name,worker ID, , , , , , ,Mask,Wafer,PIC,Gain[mA],SOA1[mA],SOA2[mA],Mrror1[mA],Mirror2[mA],L-phase[mA],Phase1[mA],Phase2[mA],Wavelength[nm],Deviation[nm],SMSR[dB],MZM Vbias[V],mPD Bias [V],MPD1[uA],MPD2[uA],Ith to SOA,Ith to Power,TapPD_Power,IS_Power[mW],Missing Channel,Judgement,Failure code
CT-3103A,operator,20240719_172912,X240704001,Pre BI,Left (A),97,1,DO721#2,TM039,1,120,50,40,10,10,4.25,1,0,1557.2,NaN,48.232737112,-2,-2,-512.685685,-48.493221,60.123,61.495,60.964,14.8075734405679,,Pass,
CT-3103A,operator,20240719_181534,X240704001,Pre BI,Left (A),97,1,DO721#2,TM039,1,120,50,40,10,10,4.25,1,0,1557.2,NaN,34.7068904,-2,-2,-557.808904,-48.456597,60.146,61.497,60.974,14.8159783178902,,Pass,[SMSR Fail]
CT-3103A,operator,20240805_160032,X240704001,Pre BI,Left (A),97,1,DO721#2,TM038,1,120,50,40,10,10,4.5,1,0,1557,NaN,34.68354681,-2,-2,-589.274976,-44.391276,58.308,62.505,59.584,14.1374765060804,,Pass,[SMSR Fail]
CT-3103A,operator,20240805_163252,X240704001,Pre BI,Left (A),97,1,DO721#2,TM038,1,120,50,40,10,10,4.25,1,0,1557.2,NaN,47.63594469,-2,-2,-593.426754,-45.013894,60.097,61.338,60.927,14.8785028125665,,Pass,
CT-3103A,operator,20240809_143832,X240704001,Pre BI,Left (A),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,4.25,1,0,1557.2,NaN,47.09187839,-2,-2,-620.631792,-45.526638,60.171,61.528,60.978,14.7764419976119,,Pass,
CT-3103A,operator,20240819_171941,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.5,NaN,45.3191382,-2,-2,-338.05627,-30.107722,60.999,61.597,61.366,13.7220195237387,,Pass,
CT-3103A,operator,20240819_182416,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.5,NaN,45.36591362,-2,-2,-336.635916,-30.290845,61.046,61.612,61.367,13.7269789579733,,Pass,
CT-3103A,operator,20240820_102453,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.6,NaN,44.8643099,-2,-2,-339.039572,-31.38958,61.077,61.556,61.449,13.7446792956454,,Pass,
CT-3103A,operator,20240820_114009,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.6,NaN,42.77351112,-2,-2,-338.675396,-31.096584,61.066,61.447,61.428,13.785980083547,,Pass,,-1
CT-3103A,operator,20240820_125146,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.5,NaN,45.29864523,-2,-2,-340.569182,-31.38958,61.005,61.191,61.358,13.8964068128165,,Pass,,55.01922
CT-3103A,operator,20240820_140846,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,9.9,10.1,3.75,0,2,1562.2,NaN,46.47592205,-2,-2,-378.772791,-29.924598,59.918,60.072,60.339,14.6341657928204,,Pass,,0
CT-3103A,operator,20240820_144916,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,9.9,10.1,3.75,0,2,1562.2,NaN,46.69811408,-2,-2,-380.702986,-29.961224,59.917,60.077,60.32,14.619198431814,,Pass,,0
CT-3103A,operator,20240820_154915,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,9.9,10.1,3.75,0,2,1562.2,NaN,46.13337825,-2,-2,-378.772791,-29.997849,59.887,60.05,60.322,14.6516434847356,,Pass,,0
CT-3103A,operator,20240820_155811,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,0
CT-3103A,operator,20240820_172917,X240704001,Pre BI,Rignt (B),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,9.9,10.1,3.75,0,2,1562.6,NaN,45.51621675,-2,-2,-361.145969,-31.572701,61.328,61.72,61.733,13.8028566319187,,Pass,,55.00884
CT-3103A,operator,20240827_192839,X240704001,Pre BI,Left (A),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.6,NaN,45.70803228,-2,-2,-319.846731,-32.671436,61.124,61.568,61.524,13.6309407107423,,Pass,,55.03237
CT-3103A,operator,20240827_195233,X240704001,Pre BI,Left (A),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.6,NaN,44.62639454,-2,-2,-326.110807,-32.378441,61.025,61.363,61.383,13.7052487321016,,Pass,,55.01937
CT-3103A,operator,20240828_095048,X240704001,Pre BI,Left (A),97,1,DO721#2,TM038,TM038-G-04-38,120,50,40,10,10,3.75,0,2,1562.6,NaN,45.18095184,-2,-2,-342.68148,-31.645952,61.039,61.374,61.406,13.8546941302647,,Pass,,55.01586
