Machine name,Operater ID,Time,Work order,Purpose,Test Platform,Fixture ID,Socket number,CoC information_ID, , ,QWLT result, , , , , , , , , , , , , , ,LIV result, , , ,Coarse Tune
Station name,worker ID, , , , , , ,Mask,Wafer,PIC,Gain[mA],SOA1[mA],SOA2[mA],Mrror1[mA],Mirror2[mA],L-phase[mA],Phase1[mA],Phase2[mA],Wavelength[nm],Deviation[nm],SMSR[dB],MZM Vbias[V],mPD Bias [V],MPD1[uA],MPD2[uA],Ith to SOA,Ith to Power,TapPD_Power,IS_Power[mW],Missing Channel,Judgement,Failure code
CT-3103A,operator,20240708_180845,X240620002,Pre BI,Rignt (B),98,4,DO721#2,TM038,1,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240709_114724,X240620002,Pre BI,Left (A),98,1,DO721#2,TM038,1,120,50,40,10,10,4.25,1,0,1556.9,NaN,34.52585551,-2,-2,-580.461521,-47.028243,60.079,61.502,61.008,14.8210379427153,,Pass,[SMSR Fail]
CT-3103A,operator,20240709_135829,X240620002,Pre BI,Left (A),98,1,DO721#2,TM038,1,120,50,40,10,10,4.25,1,0,1557.2,NaN,33.33911643,-2,-2,-517.238048,-47.431109,60.088,61.462,60.986,14.8579526092063,,Pass,[SMSR Fail]
CT-3103A,operator,20240719_152934,X240704001,Pre BI,Left (A),98,1,DO721#2,TM039,1,120,50,40,10,10,4.25,1,0,1557.2,NaN,40.204421661,-2,-2,-528.127362,-48.346723,59.95,61.51,60.812,14.8224628755593,,Pass,
CT-3103A,operator,20240719_160141,X240704001,Pre BI,Left (A),98,1,DO721#2,TM039,1,120,50,40,10,10,4.25,1,0,1557.2,NaN,46.74500245,-2,-2,-545.936287,-48.529844,60.132,61.466,60.992,14.8305783133977,,Pass,
CT-3103A,operator,20240719_162016,X240704001,Pre BI,Left (A),98,4,DO721#2,TM039,1,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240719_170234,X240704001,Pre BI,Left (A),98,4,DO721#2,TM039,1,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240719_171056,X240704001,Pre BI,Left (A),98,4,DO721#2,TM039,1,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240719_171222,X240704001,Pre BI,Left (A),98,5,DO721#2,TM039,2,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240722_101255,X240704001,Pre BI,Left (A),98,4,DO721#2,TM038,1,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240722_111057,X240704001,Pre BI,Left (A),98,4,DO721#2,TM038,1,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240722_113331,X240704001,Pre BI,Left (A),98,4,DO721#2,TM038,1,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240722_113455,X240704001,Pre BI,Left (A),98,5,DO721#2,TM038,2,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240722_114043,X240704001,Pre BI,Left (A),98,4,DO721#2,TM038,1,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240722_114208,X240704001,Pre BI,Left (A),98,5,DO721#2,TM038,2,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240722_180523,X240704001,Pre BI,Left (A),98,1,DO721#2,TM038,TEST,120,50,40,10,10,4.25,1,0,1557.2,NaN,47.49999328,-2,-2,-569.062366,-46.771871,60.104,61.464,60.985,14.8079463722106,,Pass,
CT-3103A,operator,20240722_210157,X240704001,Pre BI,Left (A),98,1,DO721#2,TM038,TEST,120,50,40,10,10,4.25,1,0,1557.2,NaN,46.98605243,-2,-2,-570.591947,-46.918369,60.118,61.467,60.962,14.7733750523108,,Pass,
CT-3103A,operator,20240722_212703,X240704001,Pre BI,Left (A),98,1,DO721#2,TM038,TEST,120,50,40,10,10,4.25,1,0,1557.2,NaN,41.40583213,-2,-2,-515.599211,-46.295751,60.095,61.421,60.968,14.8369905111959,,Pass,
CT-3103A,operator,20240805_135826,X240704001,Pre BI,Left (A),98,4,DO721#2,TM038,1,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_135951,X240704001,Pre BI,Left (A),98,5,DO721#2,TM038,2,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_141650,X240704001,Pre BI,Left (A),98,4,DO721#2,TM038,1,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240805_141812,X240704001,Pre BI,Left (A),98,5,DO721#2,TM038,2,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240806_101454,X240704001,Pre BI,Left (A),98,4,DO721#2,TM038,1,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240806_101619,X240704001,Pre BI,Left (A),98,5,DO721#2,TM038,2,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,
CT-3103A,operator,20240820_183645,X240704001,Pre BI,Left (A),98,4,DO721#2,TM038,TM039-M-01-17,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240820_183810,X240704001,Pre BI,Left (A),98,5,DO721#2,TM038,TM039-M-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_151058,X240704001,Pre BI,Left (A),98,4,DO721#1,TM038,TM039-M-01-17,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_151403,X240704001,Pre BI,Left (A),98,5,DO721#1,TM038,TM039-M-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_155845,X240704001,Pre BI,Left (A),98,4,DO721#1,TM038,TM039-M-01-17,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_160158,X240704001,Pre BI,Left (A),98,5,DO721#1,TM038,TM039-M-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_163207,X240704001,Pre BI,Left (A),98,4,DO721#1,TM038,TM039-M-01-17,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20240913_163458,X240704001,Pre BI,Left (A),98,5,DO721#1,TM038,TM039-M-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20241024_121553,X240704001,Pre BI,Left (A),98,4,DO721#1,TM038,TM039-M-01-17,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20241024_121726,X240704001,Pre BI,Left (A),98,5,DO721#1,TM038,TM039-M-01-11,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
CT-3103A,operator,20241024_151009,X240704001,Pre BI,Rignt (B),98,4,DO721#1,TM038,TM039-M-01-17,120,50,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Pass,,-1
