Id,LNX,LNY,LNZ,Ch0,Ch1,Ch2,Ch3,Ch0_mA,Ch1_mA,Ch2_mA,Ch3_mA,
2_0,10.9176,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
2_1,10.9176,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
2_2,10.9176,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
2_3,10.9176,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
2_4,10.9176,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
2_5,10.9176,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
2_6,10.9176,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
2_7,10.9176,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
2_8,10.9175,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
2_9,10.9173,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
2_10,10.9171,16.0295,10.138,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
2_11,10.9167,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
2_12,10.9163,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_13,10.9158,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_14,10.9154,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_15,10.9151,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_16,10.9149,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_17,10.9147,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_18,10.9146,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_19,10.9146,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_20,10.9146,16.0295,10.138,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_21,10.9146,16.0295,10.1381,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_22,10.9145,16.0295,10.1383,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_23,10.9145,16.0295,10.1386,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_24,10.9145,16.0295,10.1389,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_25,10.9145,16.0295,10.1394,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_26,10.9146,16.0295,10.1399,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_27,10.9149,16.0295,10.1405,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_28,10.9153,16.0295,10.1411,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_29,10.9159,16.0295,10.1417,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_30,10.9167,16.0295,10.1421,261.167,261.167,251.404,256.285,0.002493239,0.002610049,0.002512477,0.002561263,
3_31,10.9176,16.0295,10.1425,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_32,10.9187,16.0295,10.1425,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_33,10.9198,16.0295,10.1423,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_34,10.921,16.0295,10.1418,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_35,10.922,16.0295,10.141,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_36,10.9229,16.0295,10.1399,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_37,10.9234,16.0295,10.1384,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_38,10.9236,16.0295,10.1369,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_39,10.9233,16.0295,10.1352,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_40,10.9225,16.0295,10.1336,270.93,256.285,256.285,256.285,0.002586444,0.002561263,0.002561263,0.002561263,
3_41,10.9213,16.0295,10.1322,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_42,10.9196,16.0295,10.1312,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_43,10.9177,16.0295,10.1307,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_44,10.9156,16.0295,10.1307,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_45,10.9135,16.0295,10.1313,266.048,266.048,256.285,256.285,0.002539841,0.002658835,0.002561263,0.002561263,
3_46,10.9118,16.0295,10.1324,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_47,10.9103,16.0295,10.1339,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_48,10.9093,16.0295,10.1358,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_49,10.9088,16.0295,10.1378,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_50,10.9088,16.0295,10.1399,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_51,10.9093,16.0295,10.142,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_52,10.9102,16.0295,10.1439,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_53,10.9115,16.0295,10.1455,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_54,10.9132,16.0295,10.1468,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_55,10.915,16.0295,10.1477,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_56,10.9171,16.0295,10.1482,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_57,10.9192,16.0295,10.1483,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_58,10.9213,16.0295,10.1479,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_59,10.9232,16.0295,10.1472,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_60,10.925,16.0295,10.1461,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_61,10.9265,16.0295,10.1446,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_62,10.9278,16.0295,10.1429,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_63,10.9287,16.0295,10.141,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_64,10.9292,16.0295,10.139,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_65,10.9294,16.0295,10.1369,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_66,10.9291,16.0295,10.1348,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_67,10.9286,16.0295,10.1328,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_68,10.9277,16.0295,10.1309,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_69,10.9264,16.0295,10.1292,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_70,10.9249,16.0295,10.1277,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_71,10.9232,16.0295,10.1265,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_72,10.9213,16.0295,10.1256,266.048,256.285,256.285,256.285,0.002539841,0.002561263,0.002561263,0.002561263,
3_73,10.9193,16.0295,10.125,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_74,10.9172,16.0295,10.1248,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_75,10.9151,16.0295,10.1249,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_76,10.9131,16.0295,10.1253,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_77,10.9111,16.0295,10.126,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_78,10.9093,16.0295,10.127,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_79,10.9076,16.0295,10.1283,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_80,10.9062,16.0295,10.1298,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_81,10.9049,16.0295,10.1316,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_82,10.904,16.0295,10.1334,270.93,256.285,256.285,256.285,0.002586444,0.002561263,0.002561263,0.002561263,
3_83,10.9034,16.0295,10.1354,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_84,10.903,16.0295,10.1375,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_85,10.9029,16.0295,10.1396,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_86,10.9032,16.0295,10.1417,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_87,10.9037,16.0295,10.1437,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_88,10.9045,16.0295,10.1456,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_89,10.9056,16.0295,10.1474,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_90,10.9069,16.0295,10.1491,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_91,10.9084,16.0295,10.1505,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_92,10.9101,16.0295,10.1517,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_93,10.912,16.0295,10.1527,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_94,10.914,16.0295,10.1535,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_95,10.916,16.0295,10.1539,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_96,10.9181,16.0295,10.1541,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_97,10.9202,16.0295,10.154,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_98,10.9223,16.0295,10.1537,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_99,10.9243,16.0295,10.1531,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_100,10.9262,16.0295,10.1522,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_101,10.928,16.0295,10.1511,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_102,10.9296,16.0295,10.1498,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_103,10.9311,16.0295,10.1483,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_104,10.9323,16.0295,10.1466,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_105,10.9334,16.0295,10.1448,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_106,10.9342,16.0295,10.1428,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_107,10.9348,16.0295,10.1408,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_108,10.9351,16.0295,10.1388,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_109,10.9352,16.0295,10.1367,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_110,10.935,16.0295,10.1346,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_111,10.9346,16.0295,10.1325,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_112,10.9339,16.0295,10.1305,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_113,10.933,16.0295,10.1286,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_114,10.9319,16.0295,10.1268,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_115,10.9306,16.0295,10.1252,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_116,10.9292,16.0295,10.1237,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_117,10.9275,16.0295,10.1224,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
3_118,10.9257,16.0295,10.1213,266.048,261.167,256.285,256.285,0.002539841,0.002610049,0.002561263,0.002561263,
3_119,10.9239,16.0295,10.1204,270.93,261.167,256.285,256.285,0.002586444,0.002610049,0.002561263,0.002561263,
