Id,LNX,LNY,LNZ,Ch0,Ch1,Ch2,Ch3,Ch0_mA,Ch1_mA,Ch2_mA,Ch3_mA,
2_0,10.9896,15.9459,10.1768,2550.647,261.167,256.285,256.285,0.104305904130435,0.002610049,0.002561263,0.002561263,
2_1,10.9896,15.9459,10.1768,2550.647,261.167,256.285,256.285,0.105098766565217,0.002610049,0.002561263,0.002561263,
2_2,10.9896,15.9459,10.1768,2550.647,261.167,256.285,256.285,0.10592399073913,0.002610049,0.002561263,0.002561263,
2_3,10.9896,15.9459,10.1768,2560.41,261.167,256.285,256.285,0.106773486173913,0.002610049,0.002561263,0.002561263,
2_4,10.9896,15.9459,10.1768,2575.055,261.167,261.167,256.285,0.107679614652174,0.002610049,0.002610049,0.002561263,
2_5,10.9896,15.9459,10.1768,2584.819,261.167,256.285,256.285,0.108674737869565,0.002610049,0.002561263,0.002561263,
2_6,10.9896,15.9459,10.1768,2584.819,261.167,256.285,256.285,0.109726494130435,0.002610049,0.002561263,0.002561263,
2_7,10.9896,15.9459,10.1768,2570.174,261.167,256.285,256.285,0.110834883391304,0.002610049,0.002561263,0.002561263,
2_8,10.9897,15.9459,10.1768,2550.647,261.167,256.285,256.285,0.111975634391304,0.002610049,0.002561263,0.002561263,
2_9,10.9897,15.9459,10.1768,2526.239,261.167,256.285,256.285,0.113148747173913,0.002610049,0.002561263,0.002561263,
2_10,10.9898,15.9459,10.1768,2511.594,261.167,256.285,256.285,0.114354221652174,0.002610049,0.002561263,0.002561263,
2_11,10.9898,15.9459,10.1768,2516.476,261.167,256.285,256.285,0.115583967434783,0.002610049,0.002561263,0.002561263,
2_12,10.9899,15.9459,10.1768,2521.357,261.167,256.285,256.285,0.116805622782609,0.002610049,0.002561263,0.002561263,
2_13,10.9899,15.9459,10.1768,2531.121,261.167,256.285,256.285,0.118035368565217,0.002610049,0.002561263,0.002561263,
2_14,10.99,15.9459,10.1768,2550.647,261.167,256.285,256.285,0.119289385608696,0.002610049,0.002561263,0.002561263,
2_15,10.99,15.9459,10.1768,2560.41,261.167,256.285,256.285,0.120583854826087,0.002610049,0.002561263,0.002561263,
2_16,10.9901,15.9459,10.1768,2575.055,261.167,256.285,256.285,0.121943047565217,0.002610049,0.002561263,0.002561263,
2_17,10.9901,15.9459,10.1768,2579.937,261.167,256.285,256.285,0.123310330695652,0.002610049,0.002561263,0.002561263,
2_18,10.9902,15.9459,10.1768,2575.055,261.167,256.285,256.285,0.124669523391304,0.002610049,0.002561263,0.002561263,
2_19,10.9902,15.9459,10.1768,2565.292,261.167,256.285,256.285,0.126020625652174,0.002610049,0.002561263,0.002561263,
2_20,10.9903,15.9459,10.1768,2555.529,261.167,256.285,256.285,0.127363637478261,0.002610049,0.002561263,0.002561263,
2_21,10.9903,15.9459,10.1768,2545.766,261.167,256.285,256.285,0.128706649304348,0.002610049,0.002561263,0.002561263,
2_22,10.9904,15.9459,10.1768,2536.002,261.167,256.285,256.285,0.130025389869565,0.002610049,0.002561263,0.002561263,
2_23,10.9904,15.9459,10.1768,2536.002,261.167,256.285,256.285,0.131311768652174,0.002610049,0.002561263,0.002561263,
2_24,10.9905,15.9459,10.1768,2545.766,261.167,256.285,256.285,0.132598147434783,0.002610049,0.002561263,0.002561263,
2_25,10.9905,15.9459,10.1768,2555.529,261.167,256.285,256.285,0.133892616652174,0.002610049,0.002561263,0.002561263,
2_26,10.9906,15.9459,10.1768,2565.292,261.167,256.285,256.285,0.135195176347826,0.002610049,0.002561263,0.002561263,
2_27,10.9907,15.9459,10.1768,2575.055,261.167,251.404,256.285,0.136522007304348,0.002610049,0.002512477,0.002561263,
2_28,10.9907,15.9459,10.1768,2584.819,261.167,256.285,256.285,0.137848838304348,0.002610049,0.002561263,0.002561263,
2_29,10.9908,15.9459,10.1768,2594.582,261.167,256.285,256.285,0.139183759695652,0.002610049,0.002561263,0.002561263,
2_30,10.9908,15.9459,10.1768,2594.582,266.048,256.285,256.285,0.140510590695652,0.002658835,0.002561263,0.002561263,
2_31,10.9909,15.9459,10.1768,2579.937,261.167,256.285,256.285,0.141837421652174,0.002610049,0.002561263,0.002561263,
2_32,10.9909,15.9459,10.1768,2570.174,261.167,251.404,256.285,0.143156162173913,0.002610049,0.002512477,0.002561263,
2_33,10.991,15.9459,10.1768,2570.174,261.167,256.285,256.285,0.144482993173913,0.002610049,0.002561263,0.002561263,
2_34,10.991,15.9459,10.1768,2584.819,261.167,256.285,256.285,0.145769372,0.002610049,0.002561263,0.002561263,
2_35,10.9911,15.9459,10.1768,2594.582,261.167,251.404,256.285,0.147047660391304,0.002610049,0.002512477,0.002561263,
2_36,10.9911,15.9459,10.1768,2599.463,261.167,256.285,256.285,0.14832594873913,0.002610049,0.002561263,0.002561263,
2_37,10.9912,15.9459,10.1768,2614.108,261.167,256.285,256.285,0.149628508434783,0.002610049,0.002561263,0.002561263,
2_38,10.9912,15.9459,10.1768,2628.753,261.167,261.167,256.285,0.15097152026087,0.002610049,0.002610049,0.002561263,
2_39,10.9913,15.9459,10.1768,2643.398,261.167,256.285,256.285,0.152298351217391,0.002610049,0.002561263,0.002561263,
2_40,10.9913,15.9459,10.1768,2658.043,261.167,256.285,256.285,0.153633272608696,0.002610049,0.002561263,0.002561263,
2_41,10.9914,15.9459,10.1768,2658.043,261.167,256.285,256.285,0.154976284434783,0.002610049,0.002561263,0.002561263,
2_42,10.9914,15.9459,10.1768,2667.806,256.285,256.285,256.285,0.156311205869565,0.002561263,0.002561263,0.002561263,
2_43,10.9915,15.9459,10.1768,2687.333,261.167,256.285,256.285,0.153153914445652,0.002610049,0.002561263,0.002561263,
2_44,10.9915,15.9459,10.1768,2706.859,261.167,256.285,256.285,0.154195557675585,0.002610049,0.002561263,0.002561263,
2_45,10.9916,15.9459,10.1768,2731.267,261.167,256.285,256.285,0.155202238647516,0.002610049,0.002561263,0.002561263,
2_46,10.9916,15.9459,10.1768,2750.794,261.167,256.285,256.285,0.156209805752174,0.002610049,0.002561263,0.002561263,
2_47,10.9917,15.9459,10.1768,2770.32,261.167,256.285,256.285,0.157241858421196,0.002610049,0.002561263,0.002561263,
2_48,10.9918,15.9459,10.1768,2809.373,261.167,256.285,256.285,0.158301690246803,0.002610049,0.002561263,0.002561263,
2_49,10.9918,15.9459,10.1768,2858.189,261.167,256.285,256.285,0.159384896076087,0.002610049,0.002561263,0.002561263,
2_50,10.9919,15.9459,10.1768,2902.124,261.167,256.285,256.285,0.160482888461098,0.002610049,0.002561263,0.002561263,
2_51,10.9919,15.9459,10.1768,2936.295,261.167,256.285,256.285,0.161575448154348,0.002610049,0.002561263,0.002561263,
