Id,LNX,LNY,LNZ,Ch0,Ch1,Ch2,Ch3,Ch0_mA,Ch1_mA,Ch2_mA,Ch3_mA,
2_0,11.0351,16.1545,10.1432,378.326,261.167,256.285,256.285,0.003611701,0.002610049,0.002561263,0.002561263,
2_1,11.0351,16.1545,10.1432,378.326,261.167,256.285,256.285,0.003611701,0.002610049,0.002561263,0.002561263,
2_2,11.0351,16.1545,10.1432,378.326,266.048,256.285,256.285,0.003611701,0.002658835,0.002561263,0.002561263,
2_3,11.0351,16.1545,10.1432,378.326,261.167,256.285,256.285,0.003611701,0.002610049,0.002561263,0.002561263,
2_4,11.0351,16.1545,10.1432,378.326,261.167,256.285,256.285,0.003611701,0.002610049,0.002561263,0.002561263,
2_5,11.0351,16.1545,10.1432,378.326,261.167,256.285,256.285,0.003611701,0.002610049,0.002561263,0.002561263,
2_6,11.0351,16.1545,10.1432,378.326,261.167,256.285,256.285,0.003611701,0.002610049,0.002561263,0.002561263,
2_7,11.0351,16.1545,10.1432,378.326,256.285,256.285,256.285,0.003611701,0.002561263,0.002561263,0.002561263,
3_8,11.035,16.1545,10.1432,378.326,261.167,256.285,256.285,0.003611701,0.002610049,0.002561263,0.002561263,
3_9,11.0348,16.1545,10.1432,373.444,266.048,251.404,256.285,0.003565098,0.002658835,0.002512477,0.002561263,
3_10,11.0346,16.1545,10.1432,378.326,261.167,256.285,256.285,0.003611701,0.002610049,0.002561263,0.002561263,
3_11,11.0344,16.1545,10.1432,378.326,261.167,256.285,256.285,0.003611701,0.002610049,0.002561263,0.002561263,
3_12,11.0342,16.1545,10.1432,373.444,261.167,256.285,256.285,0.003565098,0.002610049,0.002561263,0.002561263,
3_13,11.0341,16.1545,10.1432,378.326,261.167,256.285,256.285,0.003611701,0.002610049,0.002561263,0.002561263,
3_14,11.0341,16.1545,10.1432,378.326,261.167,256.285,256.285,0.003611701,0.002610049,0.002561263,0.002561263,
3_15,11.0341,16.1545,10.1432,373.444,261.167,256.285,256.285,0.003565098,0.002610049,0.002561263,0.002561263,
3_16,11.034,16.1545,10.1433,378.326,261.167,256.285,256.285,0.003611701,0.002610049,0.002561263,0.002561263,
3_17,11.034,16.1545,10.1435,373.444,261.167,256.285,256.285,0.003565098,0.002610049,0.002561263,0.002561263,
3_18,11.034,16.1545,10.1437,378.326,261.167,256.285,256.285,0.003611701,0.002610049,0.002561263,0.002561263,
