Id,LNX,LNY,LNZ,Ch0,Ch1,Ch2,Ch3,Ch0_mA,Ch1_mA,Ch2_mA,Ch3_mA,
2_0,10.9945,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_1,10.9945,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_2,10.9945,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_3,10.9945,15.9367,10.1778,9995.12,266.048,256.285,256.285,0.1000002,0.002658835,0.002561263,0.002561263,
2_4,10.9945,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_5,10.9945,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_6,10.9945,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_7,10.9945,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_8,10.9944,15.9367,10.1778,9995.12,266.048,256.285,256.285,0.1000002,0.002658835,0.002561263,0.002561263,
2_9,10.9943,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_10,10.9942,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_11,10.9941,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_12,10.994,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_13,10.9939,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_14,10.9938,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_15,10.9937,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_16,10.9936,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
2_17,10.9935,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_18,10.9934,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_19,10.9933,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_20,10.9931,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_21,10.993,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_22,10.9929,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_23,10.9929,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_24,10.9928,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_25,10.9928,15.9367,10.1778,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_26,10.9928,15.9367,10.1779,9995.12,266.048,256.285,256.285,0.1000002,0.002658835,0.002561263,0.002561263,
3_27,10.9928,15.9367,10.178,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_28,10.9928,15.9367,10.1781,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_29,10.9928,15.9367,10.1782,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_30,10.9928,15.9367,10.1783,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_31,10.9928,15.9367,10.1784,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_32,10.9928,15.9367,10.1785,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_33,10.9928,15.9367,10.1786,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
3_34,10.9929,15.9367,10.1787,9995.12,261.167,256.285,256.285,0.1000002,0.002610049,0.002561263,0.002561263,
